HJD I_band I_Err
2.187768279999999777e+03 1.525099999999999945e+01 7.000000000000000146e-03
2.202837219999999888e+03 1.526399999999999935e+01 6.000000000000000125e-03
2.215790039999999863e+03 1.525999999999999979e+01 6.000000000000000125e-03
2.222789890000000014e+03 1.526099999999999923e+01 6.000000000000000125e-03
2.227748419999999896e+03 1.526200000000000045e+01 6.000000000000000125e-03
2.231722659999999905e+03 1.524699999999999989e+01 6.000000000000000125e-03
2.233690869999999904e+03 1.525500000000000078e+01 6.000000000000000125e-03
2.237610099999999875e+03 1.525699999999999967e+01 7.000000000000000146e-03
2.239671139999999923e+03 1.527999999999999936e+01 6.000000000000000125e-03
2.243833039999999983e+03 1.525000000000000000e+01 7.000000000000000146e-03
2.248692579999999907e+03 1.524200000000000088e+01 6.000000000000000125e-03
2.250724020000000110e+03 1.524000000000000021e+01 6.000000000000000125e-03
2.252821140000000014e+03 1.530799999999999983e+01 7.000000000000000146e-03
2.254739090000000033e+03 1.523600000000000065e+01 6.000000000000000125e-03
2.257756640000000061e+03 1.525799999999999912e+01 6.000000000000000125e-03
2.260766219999999976e+03 1.524399999999999977e+01 6.000000000000000125e-03
2.265704670000000078e+03 1.527699999999999925e+01 6.000000000000000125e-03
2.270816100000000006e+03 1.526399999999999935e+01 6.000000000000000125e-03
2.274794600000000173e+03 1.525999999999999979e+01 6.000000000000000125e-03
2.276849949999999808e+03 1.525699999999999967e+01 6.000000000000000125e-03
2.278808959999999843e+03 1.525999999999999979e+01 6.000000000000000125e-03
2.280788669999999911e+03 1.525200000000000067e+01 6.000000000000000125e-03
2.282792469999999867e+03 1.526800000000000068e+01 6.000000000000000125e-03
2.290683849999999893e+03 1.525500000000000078e+01 6.000000000000000125e-03
2.293803330000000187e+03 1.526399999999999935e+01 7.000000000000000146e-03
2.295827189999999973e+03 1.524499999999999922e+01 6.000000000000000125e-03
2.297813970000000154e+03 1.524200000000000088e+01 6.000000000000000125e-03
2.299830419999999776e+03 1.526299999999999990e+01 6.000000000000000125e-03
2.302799719999999979e+03 1.524499999999999922e+01 6.000000000000000125e-03
2.303722499999999854e+03 1.525799999999999912e+01 6.000000000000000125e-03
2.328572349999999915e+03 1.527800000000000047e+01 7.000000000000000146e-03
2.334570450000000164e+03 1.525099999999999945e+01 6.000000000000000125e-03
